Gene_Name,Post_1,Post_10,Post_11,Post_12,Post_13,Post_14,Post_15,Post_16,Post_17,Post_18,Post_19,Post_2,Post_20,Post_21,Post_22,Post_23,Post_24,Post_25,Post_26,Post_28,Post_29,Post_3,Post_30,Post_5,Post_6,Post_7,Post_8,Pre_1,Pre_10,Pre_11,Pre_12,Pre_13,Pre_14,Pre_15,Pre_16,Pre_17,Pre_18,Pre_19,Pre_2,Pre_20,Pre_21,Pre_22,Pre_23,Pre_24,Pre_25,Pre_26,Pre_28,Pre_29,Pre_3,Pre_30,Pre_5,Pre_6,Pre_7,Pre_8
APOM,25603.9325,13453.56433,4490.497061,4304.209139,2286.505905,2423.407258,4388.6208,6885.876654,6208.984716,112646.446,5067.69512,1975.794007,5296.81163,2926.016496,2462.37187,4588.227106,3539.31657,12384.19386,4078.722203,2806.304202,14872.84973,10014.35755,2639.120179,33162.61208,8003.864728,1639.686262,38634.39378,4996.20519,8917.057744,24385.17205,30032.1068,11942.47092,6969.37474,17846.09224,13380.36735,9266.552688,8658.663013,23966.22769,12684.00896,12141.69023,2647.209662,2647.42192,7321.745459,3225.254195,38780.22994,2661.098896,9230.905873,3718.560979,10416.69029,3105.936014,11493.39133,4082.335586,2024.971123,6819.31229
APP,3822.328744,6357.835095,7169.887849,7021.950402,5839.688322,3294.48013,4920.630673,3690.431429,6880.564821,4330.231506,7044.302249,4290.659413,6653.84968,6805.400664,4963.422386,5242.536817,3073.144002,7475.185412,6257.271694,2551.393209,5627.444983,3513.145267,3383.833926,7663.00542,7369.650084,2326.343266,3225.606219,3470.867131,7587.139394,3908.253425,6757.340629,7154.180242,5873.627382,3228.987211,5332.561526,4910.604826,4756.13364,8791.113693,3338.991853,3603.760168,5811.774579,5272.048361,3564.592419,3819.412899,5251.702383,6990.76321,7757.026039,1798.488296,3541.40649,4574.048795,3696.020048,4824.529154,2056.256806,3569.838247
APPL1,1766.994399,2278.237672,1057.685688,775.0067281,1288.181449,3674.836483,1690.040265,1009.249303,2074.357982,2405.198867,1970.578289,554.6661476,723.8970363,2300.272467,1875.495724,2032.415552,1432.964793,1601.626796,1830.635939,4034.64483,2371.561708,1532.675327,1811.380201,2094.213969,3323.989953,1556.055654,3368.656402,1219.037876,3519.782977,1043.334152,616.5261666,1473.935158,2715.540121,3891.029521,3450.348745,3561.341969,1265.125011,606.4626586,1933.511217,1279.695877,2543.89138,3866.850443,3451.355495,2033.049832,1596.44746,3999.816177,1394.481474,2265.866427,3417.634132,2236.457294,3385.896402,4815.750153,1222.276211,1452.137525
APPL2,3101.101248,5126.689032,1681.620267,1576.720373,3335.363984,1729.617066,2354.939777,2676.020621,5466.319705,1595.279582,4796.005137,826.5632151,4190.977943,4184.96577,3212.968525,4367.858963,1306.351298,1366.17583,5784.223601,3088.45914,3966.459188,3035.422167,2812.102225,661.4366808,3888.822915,2342.381613,1560.655605,6148.193074,3046.712764,2753.060008,1879.511474,1315.037444,3974.280579,5120.741112,7380.990599,5129.180564,2428.517317,1642.375644,1897.01961,6193.817589,7311.257541,5842.432315,5654.982011,585.2748136,2175.691822,6074.497523,969.7892235,1044.583287,4069.535405,3227.888428,2186.788843,3771.899192,879.3426597,730.6145054
APRT,5149.051836,10904.87686,3805.553548,8373.478637,11858.78614,7390.761642,20030.01956,15303.6977,7053.160323,10767.27411,15561.82561,1634.964171,11603.17779,11455.05827,7974.876362,5438.231478,3737.51653,5361.950828,6261.896397,11972.44563,12677.39015,17820.41488,10496.11863,14807.96176,7725.189347,2911.374742,9988.333194,6938.193975,10391.35737,11862.97091,12490.54445,11233.49339,8586.306314,12224.41729,26303.71921,11335.08864,12277.19973,11152.16162,11735.03395,22803.60736,11199.02287,15896.63325,12149.04522,6708.80924,6570.70935,10959.22989,8487.106578,7679.917424,19750.36653,16101.65578,24058.28019,13088.73375,1420.271132,8161.512463
AQP5,71381.21103,88027.98302,62120.4656,43748.12377,80600.17269,76787.47542,74787.01614,39770.30165,61311.96054,9365.927355,90014.07484,35166.18014,51264.01061,69165.27621,67501.1013,86596.4471,26599.54418,59721.83221,54221.4904,39440.85131,66473.42152,91008.33845,57754.11032,21819.65747,95131.85303,40523.7359,23797.8086,47311.84424,101961.5204,68573.52165,66520.75336,72412.34888,85818.48673,112683.4034,75797.96664,83965.01027,79395.07849,63913.42061,49206.26336,52313.29292,124407.2917,75439.47406,107407.3175,33772.42809,67615.30205,88653.87688,53068.59179,17203.70541,82728.81437,63005.53224,13355.98115,77327.33303,30181.44784,37852.05968
ARCN1,5169.117979,5849.264788,2546.719419,1906.841309,4776.387742,9481.392488,5930.379627,2626.156259,5755.481864,8232.521508,5887.949604,1887.896775,2964.785469,6937.548634,3595.052296,4646.117394,4869.239073,5428.581658,3694.0984,14973.55516,6679.4436,4550.482839,6459.695023,4358.094032,7708.475611,2741.544648,9754.747,4746.117462,9200.255374,6052.661376,2519.551801,4952.371678,9995.113714,12339.07221,12839.66681,10023.03768,5749.735595,3034.928365,6847.522998,9071.140588,6250.898445,15384.92747,12838.03075,4358.782385,4716.481628,10348.96234,3178.146132,3012.51912,10066.91992,7889.46736,11400.3022,15813.39804,1441.930646,2539.303514
ARF4,16813.4487,23667.38987,10637.50096,8262.246832,19253.08203,21826.98648,19156.35588,5291.312416,19590.71566,5432.32808,20158.59644,2545.84024,4336.393097,13266.51879,12774.84312,12417.57808,10662.44022,12232.77764,15823.62146,29115.07681,17533.21538,14543.09891,21224.56514,5570.349755,21908.67692,8590.695154,16397.50452,15125.81634,28711.1401,13803.16603,7464.838754,14284.06154,25516.71006,33902.40513,29092.13352,22942.00142,19510.6558,6819.574812,16461.91029,12587.40272,24283.55975,32699.82393,23851.89635,8357.546689,11898.23893,32202.47321,6581.040034,3224.777105,17990.52547,23262.07746,20169.28664,29683.62789,4460.209216,6953.02495
ARF5,10626.13845,6139.076592,4424.959369,3749.863003,10839.19923,9787.162546,8429.059548,7768.166821,9001.35107,17685.95788,9981.321547,3350.633718,3671.678248,9484.563066,5669.904262,4798.302948,8810.719272,5804.986652,8679.882126,12254.79335,10720.00556,8834.357316,7640.596942,8153.186893,6345.645268,4256.510686,5625.065764,9984.79608,12119.19391,3402.379834,4121.244517,6562.620644,10407.35405,12112.7294,22145.11724,14849.69858,7590.353438,8515.26715,6085.320448,10016.44583,11520.70319,15676.07647,8682.344636,6809.166757,4767.274953,12699.73235,3956.834476,5295.138006,11660.89747,13807.28049,15301.66789,9892.113364,3813.501214,3693.205189
ARF6,15930.83188,36154.74387,14257.99965,3466.112487,32295.21176,21878.77515,21327.69945,9007.448773,27654.13137,3846.905288,16806.06146,3191.632793,4933.623187,15852.04648,18127.54261,16733.55084,14240.3806,16956.7295,20147.1398,44089.93464,21316.93225,9172.600639,30049.53682,3953.394829,33478.81922,1944.481148,14677.32639,10918.46691,31399.62137,9694.203892,4286.319158,15135.23761,28960.69566,38417.32855,29204.82935,23908.26782,17383.30991,7322.404593,17913.22315,10256.07855,21409.00873,37193.05746,38479.82469,14483.82762,14813.93605,44023.85136,3513.35829,1431.955845,18156.47128,28838.2344,19961.38569,44111.57054,1903.236888,11258.96739
